,Security Description,Record Date,Average Interest Rate Amount
1495,Treasury Notes,7/31/16,1.809
1496,Treasury Bonds,7/31/16,4.461
1510,Treasury Bills,6/30/16,0.386
1511,Treasury Notes,6/30/16,1.808
1512,Treasury Bonds,6/30/16,4.479
1538,Treasury Bills,5/31/16,0.395
1539,Treasury Notes,5/31/16,1.814
1540,Treasury Bonds,5/31/16,4.493
1550,Treasury Bills,4/30/16,0.385
1551,Treasury Notes,4/30/16,1.833
1552,Treasury Bonds,4/30/16,4.543
1561,Treasury Bills,3/31/16,0.366
1562,Treasury Notes,3/31/16,1.829
1563,Treasury Bonds,3/31/16,4.556
1579,Treasury Bills,2/29/16,0.331
1580,Treasury Notes,2/29/16,1.831
1581,Treasury Bonds,2/29/16,4.568
1596,Treasury Bills,1/31/16,0.292
1597,Treasury Notes,1/31/16,1.849
1598,Treasury Bonds,1/31/16,4.602
1612,Treasury Bills,12/31/15,0.235
1613,Treasury Notes,12/31/15,1.84
1614,Treasury Bonds,12/31/15,4.615
1632,Treasury Bills,11/30/15,0.161
1633,Treasury Notes,11/30/15,1.832
1634,Treasury Bonds,11/30/15,4.628
1646,Treasury Bills,10/31/15,0.144
1647,Treasury Notes,10/31/15,1.834
1648,Treasury Bonds,10/31/15,4.66
1663,Treasury Bills,9/30/15,0.136
1664,Treasury Notes,9/30/15,1.822
1665,Treasury Bonds,9/30/15,4.673
1680,Treasury Bills,8/31/15,0.121
1681,Treasury Notes,8/31/15,1.815
1682,Treasury Bonds,8/31/15,4.686
1698,Treasury Bills,7/31/15,0.099
1699,Treasury Notes,7/31/15,1.816
1700,Treasury Bonds,7/31/15,4.719
1714,Treasury Notes,6/30/15,1.809
1715,Treasury Bonds,6/30/15,4.731
1729,Treasury Bills,6/30/15,0.093
1732,Treasury Bills,5/31/15,0.09
1733,Treasury Notes,5/31/15,1.806
1734,Treasury Bonds,5/31/15,4.744
1748,Treasury Bills,4/30/15,0.088
1749,Treasury Notes,4/30/15,1.805
1750,Treasury Bonds,4/30/15,4.761
1766,Treasury Bills,3/31/15,0.078
1767,Treasury Notes,3/31/15,1.804
1768,Treasury Bonds,3/31/15,4.778
1783,Treasury Bills,2/28/15,0.071
1784,Treasury Notes,2/28/15,1.808
1785,Treasury Bonds,2/28/15,4.795
1810,Treasury Bills,1/31/15,0.07
1811,Treasury Notes,1/31/15,1.816
1812,Treasury Bonds,1/31/15,4.86
1821,Treasury Bills,12/31/14,0.063
1822,Treasury Notes,12/31/14,1.808
1823,Treasury Bonds,12/31/14,4.883
1834,Treasury Bills,11/30/14,0.059
